标题,开发商,房子信息,户型,面积,朝向,装修,楼层,建造时间,结构,发布周期,售价/万,单价
金融街 新文化街 南北三居室 电梯直达,新文化街 -金融街,3室1厅 | 76.9平米 | 南 北 | 精装 | 13层 | 1983年建 | 板楼,3室1厅 , 76.9平米 , 南 北 , 精装 , 13层 , 1983年建 , 板楼,9人关注 / 16天以前发布,1335,"173,603元/平"
独栋户型，单排位置，双车位，南入户南花园,龙湾别墅 -中央别墅区,4室2厅 | 289.62平米 | 东 南 西 北 | 精装 | 3层 | 2006年建 | 板楼,4室2厅 , 289.62平米 , 东 南 西 北 , 精装 , 3层 , 2006年建 , 板楼,7人关注 / 16天以前发布,2050,"70,783元/平"
花语城正规四居室，南北通透边户，前后视野无遮挡,中国铁建花语城 -北苑,4室1厅 | 129.11平米 | 南 北 | 精装 | 中楼层(共24层) | 2012年建 | 板楼,4室1厅 , 129.11平米 , 南 北 , 精装 , 中楼层(共24层) , 2012年建 , 板楼,12人关注 / 16天以前发布,1390,"107,661元/平"
观湖国际三居室 东西通透 满五唯一 房况保养好,观湖国际 -朝阳公园,3室1厅 | 167.75平米 | 东 西 | 精装 | 中楼层(共25层)  | 板楼,3室1厅 , 167.75平米 , 东 西 , 精装 , 中楼层(共25层)  ,不详, 板楼,6人关注 / 14天以前发布,1550,"92,400元/平"
阳光100国际公寓高层，南向复式大两居，满五唯一,阳光100 -CBD,2室1厅 | 160.66平米 | 南 | 精装 | 30层 | 2002年建 | 塔楼,2室1厅 , 160.66平米 , 南 , 精装 , 30层 , 2002年建 , 塔楼,3人关注 / 11天以前发布,1170,"72,825元/平"
西三环莲香园南北通透4居双卫   不临街,莲香园 -六里桥,4室1厅 | 123.61平米 | 南 北 | 其他 | 顶层(共6层) | 1998年建 | 板楼,4室1厅 , 123.61平米 , 南 北 , 其他 , 顶层(共6层) , 1998年建 , 板楼,10人关注 / 14天以前发布,660,"53,394元/平"
金科天玺 精装修三居室 店长推荐,金科天玺 -小汤山,3室2厅 | 134.38平米 | 南 北 | 精装 | 9层  | 板楼,3室2厅 , 134.38平米 , 南 北 , 精装 , 9层  ,不详, 板楼,7人关注 / 11天以前发布,455,"33,860元/平"
东三环 华辉苑小区 满五年商品房 诚意出售,华辉苑 -潘家园,4室2厅 | 149.98平米 | 东南 | 精装 | 低楼层(共22层)  | 塔楼,4室2厅 , 149.98平米 , 东南 , 精装 , 低楼层(共22层)  ,不详, 塔楼,5人关注 / 13天以前发布,780,"52,007元/平"
精装东边户 可拎包住 明厨明卫 视野开阔 沐浴阳光,西山美墅馆C区 -西山,4室2厅 | 215.39平米 | 东 南 北 | 精装 | 中楼层(共4层) | 2009年建 | 暂无数据,4室2厅 , 215.39平米 , 东 南 北 , 精装 , 中楼层(共4层) , 2009年建 , 暂无数据,7人关注 / 10天以前发布,2080,"96,570元/平"
芳草园别墅，南院双拼，满五唯一，两层大面宽！,芳草园别墅 -通州其它,5室2厅 | 241平米 | 南 北 | 精装 | 底层(共2层) | 1993年建 | 暂无数据,5室2厅 , 241平米 , 南 北 , 精装 , 底层(共2层) , 1993年建 , 暂无数据,7人关注 / 10天以前发布,795,"32,988元/平"
此房商品房南北通透，满五唯一，精装修，交通便利,天鑫家园 -霍营,3室2厅 | 97.65平米 | 南 北 | 精装 | 中楼层(共6层) | 2002年建 | 板楼,3室2厅 , 97.65平米 , 南 北 , 精装 , 中楼层(共6层) , 2002年建 , 板楼,1人关注 / 10天以前发布,510,"52,228元/平"
美利新世界中间楼层两居室，南北通透，户型方正。,美利新世界 -旧宫,2室2厅 | 100.18平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,2室2厅 , 100.18平米 , 南 北 , 简装 , 中楼层(共6层)  ,不详, 板楼,2人关注 / 9天以前发布,465,"46,417元/平"
和平家园 楼龄新 环境好 停车方便,和平街八区 -和平里,3室2厅 | 110.17平米 | 东 南 北 | 简装 | 中楼层(共5层) | 1997年建 | 板楼,3室2厅 , 110.17平米 , 东 南 北 , 简装 , 中楼层(共5层) , 1997年建 , 板楼,11人关注 / 10天以前发布,1000,"90,769元/平"
2012年南北三居，电梯房人车分流，精装高层视野好,西山公馆 -西北旺,3室1厅 | 150.73平米 | 南 北 | 精装 | 顶层(共7层) | 2011年建 | 板楼,3室1厅 , 150.73平米 , 南 北 , 精装 , 顶层(共7层) , 2011年建 , 板楼,2人关注 / 13天以前发布,1450,"96,199元/平"
和义东里一区 满五年唯一商品房 近地铁采光好配套齐全,和义东里一区 -和义,3室1厅 | 83.71平米 | 东 南 北 | 其他 | 中楼层(共6层) | 2000年建 | 板楼,3室1厅 , 83.71平米 , 东 南 北 , 其他 , 中楼层(共6层) , 2000年建 , 板楼,8人关注 / 9天以前发布,362,"43,245元/平"
青秀城  花园洋房 南北通透 不临街 没有遮挡,青秀城 -玉泉营,5室2厅 | 150.34平米 | 南 北 | 精装 | 底层(共6层)  | 板楼,5室2厅 , 150.34平米 , 南 北 , 精装 , 底层(共6层)  ,不详, 板楼,5人关注 / 9天以前发布,1545,"102,768元/平"
知本时代 电梯三居室 商满五唯一 精装 南北双通透,知本时代 -西三旗,3室1厅 | 114.87平米 | 南 北 | 精装 | 中楼层(共14层) | 2004年建 | 板塔结合,3室1厅 , 114.87平米 , 南 北 , 精装 , 中楼层(共14层) , 2004年建 , 板塔结合,16人关注 / 13天以前发布,848,"73,823元/平"
御花园一里南北通透大三居 低楼层不临街,郁花园一里 -高米店,3室2厅 | 122.01平米 | 南 北 | 精装 | 6层 | 2001年建 | 板楼,3室2厅 , 122.01平米 , 南 北 , 精装 , 6层 , 2001年建 , 板楼,0人关注 / 15天以前发布,535,"43,849元/平"
梨园东里  正规大三居室 华业步行街 满五年唯一,梨园东里 -梨园,3室2厅 | 136.15平米 | 南 北 | 精装 | 底层(共6层) | 2001年建 | 板楼,3室2厅 , 136.15平米 , 南 北 , 精装 , 底层(共6层) , 2001年建 , 板楼,3人关注 / 8天以前发布,498,"36,578元/平"
科学城联排别墅 地上3层 南北通透 随时签约,晨浩花园东区 -北七家,4室1厅 | 194.72平米 | 南 北 | 精装 | 底层(共3层)  | 板楼,4室1厅 , 194.72平米 , 南 北 , 精装 , 底层(共3层)  ,不详, 板楼,10人关注 / 11天以前发布,750,"38,517元/平"
新华联家园南区 电梯中间层 南北通透精装3居 满五唯一,新华联家园南区 -果园,3室1厅 | 137.96平米 | 南 北 | 精装 | 中楼层(共11层) | 2002年建 | 板楼,3室1厅 , 137.96平米 , 南 北 , 精装 , 中楼层(共11层) , 2002年建 , 板楼,2人关注 / 9天以前发布,632,"45,811元/平"
龙腾苑四区满五唯一，不临街，把西边前后无遮挡采光好,龙腾苑四区 -回龙观,3室2厅 | 144.43平米 | 西南 北 | 精装 | 中楼层(共6层) | 2003年建 | 板楼,3室2厅 , 144.43平米 , 西南 北 , 精装 , 中楼层(共6层) , 2003年建 , 板楼,3人关注 / 14天以前发布,635,"43,966元/平"
天通西苑一区 南北通透大三居 中楼层位置好,天通西苑一区 -天通苑,3室2厅 | 159.8平米 | 南 北 | 简装 | 中楼层(共13层) | 2001年建 | 板楼,3室2厅 , 159.8平米 , 南 北 , 简装 , 中楼层(共13层) , 2001年建 , 板楼,1人关注 / 8天以前发布,630,"39,425元/平"
宣颐家园社区 东西向两居室 交通便利,宣颐家园 -旧宫,2室1厅 | 82.59平米 | 东 西 | 简装 | 顶层(共14层)  | 板楼,2室1厅 , 82.59平米 , 东 西 , 简装 , 顶层(共14层)  ,不详, 板楼,5人关注 / 9天以前发布,300,"36,325元/平"
三居两卫，三层精装修，商品房满五年唯一，好户型,风雅园三区 -回龙观,3室1厅 | 122.83平米 | 南 北 | 其他 | 6层 | 2000年建 | 板楼,3室1厅 , 122.83平米 , 南 北 , 其他 , 6层 , 2000年建 , 板楼,7人关注 / 14天以前发布,560,"45,592元/平"
东二环内崇文门东大街双通透南北精装三居室，电梯直达,崇文门东大街 -崇文门,3室1厅 | 76.69平米 | 南 北 | 精装 | 中楼层(共14层) | 1980年建 | 板楼,3室1厅 , 76.69平米 , 南 北 , 精装 , 中楼层(共14层) , 1980年建 , 板楼,13人关注 / 13天以前发布,900,"117,356元/平"
精装东边户保持好 南花园 满5年 诚意卖,亚运新新家园朗月园一期 -亚运村小营,4室1厅 | 366.07平米 | 南 北 | 精装 | 3层 | 2003年建 | 板楼,4室1厅 , 366.07平米 , 南 北 , 精装 , 3层 , 2003年建 , 板楼,1人关注 / 14天以前发布,3450,"94,245元/平"
满五唯一 格局好 精装修 可拎包入住,鸿泽园 -鼓楼街道,3室2厅 | 162.97平米 | 东 西 | 精装 | 高楼层(共6层)  | 板楼,3室2厅 , 162.97平米 , 东 西 , 精装 , 高楼层(共6层)  ,不详, 板楼,0人关注 / 8天以前发布,370,"22,704元/平"
全南两居室 次次顶层 户型方正 双卫设计 采光无遮挡,林奥嘉园 -奥林匹克公园,2室2厅 | 118.66平米 | 南 | 精装 | 高楼层(共27层)  | 板塔结合,2室2厅 , 118.66平米 , 南 , 精装 , 高楼层(共27层)  ,不详, 板塔结合,12人关注 / 8天以前发布,880,"74,162元/平"
此房满五年，南北通透格局好，楼层高，视野开阔！,国美第一城2号院 -朝青,3室2厅 | 136.04平米 | 南 北 | 精装 | 27层 | 2006年建 | 板塔结合,3室2厅 , 136.04平米 , 南 北 , 精装 , 27层 , 2006年建 , 板塔结合,18人关注 / 8天以前发布,790,"58,072元/平"
丽水莲花 西南北全明格局三居室 边户 09年 诚心出售,丽水莲花 -广安门,3室2厅 | 139.13平米 | 南 西 北 | 精装 | 中楼层(共19层) | 2009年建 | 板楼,3室2厅 , 139.13平米 , 南 西 北 , 精装 , 中楼层(共19层) , 2009年建 , 板楼,10人关注 / 9天以前发布,1820,"130,813元/平"
中关村环保科技园   尚峰尚水   满五唯一   随时签约,正源尚峰尚水 -海淀北部新区,3室2厅 | 108.12平米 | 南 北 | 精装 | 中楼层(共9层)  | 板楼,3室2厅 , 108.12平米 , 南 北 , 精装 , 中楼层(共9层)  ,不详, 板楼,2人关注 / 15天以前发布,829,"76,675元/平"
嘉园一里未来明珠东南三居 三错层结构客厅挑高4.05米,未来明珠 -马家堡,3室2厅 | 177.85平米 | 东 南 北 | 简装 | 低楼层(共18层) | 2003年建 | 塔楼,3室2厅 , 177.85平米 , 东 南 北 , 简装 , 低楼层(共18层) , 2003年建 , 塔楼,6人关注 / 12天以前发布,980,"55,103元/平"
满五唯一 格局好 精装修 可拎包入住,鸿泽园 -鼓楼街道,3室2厅 | 162.97平米 | 东 西 | 精装 | 高楼层(共6层)  | 板楼,3室2厅 , 162.97平米 , 东 西 , 精装 , 高楼层(共6层)  ,不详, 板楼,0人关注 / 8天以前发布,370,"22,704元/平"
精装东边户保持好 南花园 满5年 诚意卖,亚运新新家园朗月园一期 -亚运村小营,4室1厅 | 366.07平米 | 南 北 | 精装 | 3层 | 2003年建 | 板楼,4室1厅 , 366.07平米 , 南 北 , 精装 , 3层 , 2003年建 , 板楼,1人关注 / 14天以前发布,3450,"94,245元/平"
全南两居室 次次顶层 户型方正 双卫设计 采光无遮挡,林奥嘉园 -奥林匹克公园,2室2厅 | 118.66平米 | 南 | 精装 | 高楼层(共27层)  | 板塔结合,2室2厅 , 118.66平米 , 南 , 精装 , 高楼层(共27层)  ,不详, 板塔结合,12人关注 / 8天以前发布,880,"74,162元/平"
北京香颂 高楼层 四居室全明格局,北京香颂 -望京,4室2厅 | 249.75平米 | 东 南 北 | 精装 | 高楼层(共18层) | 2007年建 | 塔楼,4室2厅 , 249.75平米 , 东 南 北 , 精装 , 高楼层(共18层) , 2007年建 , 塔楼,23人关注 / 13天以前发布,1300,"52,053元/平"
润龙家园全明户型三居室，带电梯,润龙家园 -旧宫,3室1厅 | 107.64平米 | 南 北 | 简装 | 中楼层(共9层) | 2005年建 | 板楼,3室1厅 , 107.64平米 , 南 北 , 简装 , 中楼层(共9层) , 2005年建 , 板楼,14人关注 / 14天以前发布,536,"49,796元/平"
通用时代国际公寓 国贸正规三居室 南北通透,通用时代国际公寓 -建国门外,3室2厅 | 201.33平米 | 南 西 北 | 精装 | 28层 | 2004年建 | 塔楼,3室2厅 , 201.33平米 , 南 西 北 , 精装 , 28层 , 2004年建 , 塔楼,6人关注 / 14天以前发布,1800,"89,406元/平"
中海馥园 高层三居 满五年唯一 无遮挡 精装修 诚售,中海馥园 -甘家口,3室2厅 | 174.58平米 | 南 北 | 精装 | 中楼层(共22层)  | 板塔结合,3室2厅 , 174.58平米 , 南 北 , 精装 , 中楼层(共22层)  ,不详, 板塔结合,8人关注 / 15天以前发布,2200,"126,017元/平"
幸福一村西里 2室1厅 南 北,幸福一村西里 -工体,2室1厅 | 140.36平米 | 南 北 | 简装 | 底层(共6层)  | 板楼,2室1厅 , 140.36平米 , 南 北 , 简装 , 底层(共6层)  ,不详, 板楼,3人关注 / 15天以前发布,1380,"98,319元/平"
【环境好小区】商五唯一，精装修跃层复式，南北通透,天通苑北三区 -天通苑,4室1厅 | 150.84平米 | 南 北 | 精装 | 高楼层(共7层) | 2001年建 | 板楼,4室1厅 , 150.84平米 , 南 北 , 精装 , 高楼层(共7层) , 2001年建 , 板楼,6人关注 / 15天以前发布,488,"32,353元/平"
满五唯一商品房，仅有契税，采光没有任何遮挡，不临街,三环新城7号院 -玉泉营,3室2厅 | 116.8平米 | 南 | 简装 | 低楼层(共22层)  | 板塔结合,3室2厅 , 116.8平米 , 南 , 简装 , 低楼层(共22层)  ,不详, 板塔结合,15人关注 / 14天以前发布,692,"59,247元/平"
万科精装上叠电梯入户 全新未住 二层不算房本面积,翡翠公园五期 -北七家,3室2厅 | 77.53平米 | 南 北 | 精装 | 中楼层(共5层) | 2020年建 | 板楼,3室2厅 , 77.53平米 , 南 北 , 精装 , 中楼层(共5层) , 2020年建 , 板楼,12人关注 / 3天以前发布,750,"96,737元/平"
此房精装修，西向正规一居居室，客厅大落地窗,新街坊 -北苑,1室1厅 | 72.83平米 | 西南 | 精装 | 中楼层(共19层) | 2004年建 | 板楼,1室1厅 , 72.83平米 , 西南 , 精装 , 中楼层(共19层) , 2004年建 , 板楼,10人关注 / 29天以前发布,521,"71,537元/平"
航天部小区   满五年  一层节省爬楼,永定路85号院 -五棵松,2室1厅 | 49.4平米 | 东 北 | 简装 | 底层(共6层)  | 板楼,2室1厅 , 49.4平米 , 东 北 , 简装 , 底层(共6层)  ,不详, 板楼,7人关注 / 21天以前发布,465,"94,130元/平"
东城+2009年商品房+精装修+地铁+85两居,冠城名敦道A区 -广渠门,2室1厅 | 85.03平米 | 东北 | 精装 | 高楼层(共23层) | 2009年建 | 塔楼,2室1厅 , 85.03平米 , 东北 , 精装 , 高楼层(共23层) , 2009年建 , 塔楼,8人关注 / 17天以前发布,705,"82,912元/平"
北辰福第二号院 2室1厅 东南,北辰福第二号院 -常营,2室1厅 | 78.13平米 | 东南 | 精装 | 低楼层(共22层)  | 塔楼,2室1厅 , 78.13平米 , 东南 , 精装 , 低楼层(共22层)  ,不详, 塔楼,14人关注 / 25天以前发布,409,"52,349元/平"
太平家园       客厅朝南   卫生间带窗户  低楼层,太平家园 -天通苑,2室2厅 | 93.04平米 | 南 北 | 简装 | 底层(共6层)  | 板楼,2室2厅 , 93.04平米 , 南 北 , 简装 , 底层(共6层)  ,不详, 板楼,14人关注 / 19天以前发布,433.8,"46,626元/平"
世涛天朗 2室1厅 南 北,世涛天朗 -东关,2室1厅 | 85.39平米 | 南 北 | 简装 | 低楼层(共6层) | 2005年建 | 板楼,2室1厅 , 85.39平米 , 南 北 , 简装 , 低楼层(共6层) , 2005年建 , 板楼,9人关注 / 18天以前发布,389,"45,556元/平"
世纪龙鼎园复式四居诚售，看房方便，带电梯,龙鼎园 -九棵树(家乐福),4室1厅 | 148.89平米 | 南 北 | 简装 | 顶层(共11层) | 2005年建 | 板楼,4室1厅 , 148.89平米 , 南 北 , 简装 , 顶层(共11层) , 2005年建 , 板楼,12人关注 / 18天以前发布,530,"35,597元/平"
万达对面200米，高楼层南北通透，无遮挡,久筑物业 -鲁谷,2室1厅 | 73.52平米 | 南 北 | 简装 | 顶层(共12层) | 1996年建 | 板塔结合,2室1厅 , 73.52平米 , 南 北 , 简装 , 顶层(共12层) , 1996年建 , 板塔结合,5人关注 / 19天以前发布,357,"48,559元/平"
原香小镇二区 3室1厅 南 北,原香小镇二区 -长阳,3室1厅 | 84.52平米 | 南 北 | 简装 | 顶层(共6层) | 2010年建 | 板楼,3室1厅 , 84.52平米 , 南 北 , 简装 , 顶层(共6层) , 2010年建 , 板楼,3人关注 / 19天以前发布,330,"39,045元/平"
房子满2年有租户 纯南户型 采光好 简单装修 环境安静,首座御园一区二期 -枣园,2室1厅 | 91.22平米 | 南 | 简装 | 顶层(共14层) | 2015年建 | 塔楼,2室1厅 , 91.22平米 , 南 , 简装 , 顶层(共14层) , 2015年建 , 塔楼,13人关注 / 17天以前发布,280,"30,696元/平"
高家寨 低楼层 朝南一居 无遮挡 有钥匙,高家寨 -陶然亭,1室1厅 | 36.22平米 | 南 | 简装 | 6层 | 1988年建 | 板楼,1室1厅 , 36.22平米 , 南 , 简装 , 6层 , 1988年建 , 板楼,4人关注 / 14天以前发布,640,"176,698元/平"
6号线地铁，2010年建成，带电梯，南北通透3居。,福盈家园 -定福庄,3室1厅 | 86.2平米 | 南 北 | 精装 | 低楼层(共20层) | 2012年建 | 板楼,3室1厅 , 86.2平米 , 南 北 , 精装 , 低楼层(共20层) , 2012年建 , 板楼,22人关注 / 13天以前发布,425,"49,304元/平"
烟厂宿舍 南向两居 满五唯一 视野采光好,烟厂宿舍 -管庄,2室1厅 | 60.07平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,2室1厅 , 60.07平米 , 南 , 简装 , 中楼层(共6层) , 1994年建 , 板楼,15人关注 / 15天以前发布,298,"49,609元/平"
林海园 2室1厅 南 北,林海园 -观音寺,2室1厅 | 85.1平米 | 南 北 | 精装 | 中楼层(共6层) | 2002年建 | 板楼,2室1厅 , 85.1平米 , 南 北 , 精装 , 中楼层(共6层) , 2002年建 , 板楼,2人关注 / 14天以前发布,208,"24,442元/平"
首开熙悦山澜庭  全南  户型方正  满五唯一,首开熙悦山澜庭 -长阳,2室2厅 | 69.74平米 | 南 | 简装 | 低楼层(共21层) | 2014年建 | 板塔结合,2室2厅 , 69.74平米 , 南 , 简装 , 低楼层(共21层) , 2014年建 , 板塔结合,4人关注 / 12天以前发布,296,"42,444元/平"
鲁谷 北重西厂 精装修两居室 卫生间带窗户,北重西厂 -鲁谷,2室1厅 | 62.66平米 | 南 北 | 精装 | 低楼层(共6层) | 1994年建 | 板楼,2室1厅 , 62.66平米 , 南 北 , 精装 , 低楼层(共6层) , 1994年建 , 板楼,8人关注 / 14天以前发布,328,"52,346元/平"
宏大南园  南向 楼层好 配套设施齐全 交通便利,宏大南园 -西红门,2室1厅 | 88.96平米 | 南 | 简装 | 低楼层(共16层) | 2006年建 | 板楼,2室1厅 , 88.96平米 , 南 , 简装 , 低楼层(共16层) , 2006年建 , 板楼,9人关注 / 16天以前发布,418,"46,988元/平"
西城区、广华轩、东南两居、有钥匙、交通便利,广华轩 -广安门,2室1厅 | 108.55平米 | 东南 | 简装 | 中楼层(共24层) | 2000年建 | 塔楼,2室1厅 , 108.55平米 , 东南 , 简装 , 中楼层(共24层) , 2000年建 , 塔楼,7人关注 / 13天以前发布,1099,"101,244元/平"
满五唯一。商品房社区，成熟商圈，出行便捷,华源冠军城 -南沙滩,2室1厅 | 78.85平米 | 南 西 | 精装 | 中楼层(共23层) | 2006年建 | 塔楼,2室1厅 , 78.85平米 , 南 西 , 精装 , 中楼层(共23层) , 2006年建 , 塔楼,20人关注 / 14天以前发布,835,"105,898元/平"
户型方正 采光充足 无遮挡 不临街 随时签约,万柳园小区 -玉泉营,1室1厅 | 38.54平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,1室1厅 , 38.54平米 , 南 , 简装 , 高楼层(共6层)  ,不详, 板楼,3人关注 / 7天以前发布,218,"56,565元/平"
满五唯一。商品房社区，成熟商圈，出行便捷,华源冠军城 -南沙滩,2室1厅 | 78.85平米 | 南 西 | 精装 | 中楼层(共23层) | 2006年建 | 塔楼,2室1厅 , 78.85平米 , 南 西 , 精装 , 中楼层(共23层) , 2006年建 , 塔楼,20人关注 / 14天以前发布,835,"105,898元/平"
徜徉嘉园祥云街6号院 南北通透  西边户  精装修,徜徉嘉园6号院 -长阳,3室1厅 | 103.23平米 | 南 西 北 | 精装 | 中楼层(共11层) | 2014年建 | 板楼,3室1厅 , 103.23平米 , 南 西 北 , 精装 , 中楼层(共11层) , 2014年建 , 板楼,3人关注 / 17天以前发布,472,"45,724元/平"
南三环 2006年商品房 交通便利 诚心出售,远中悦麒 -木樨园,1室0厅 | 43.96平米 | 北 | 简装 | 低楼层(共24层) | 2006年建 | 塔楼,1室0厅 , 43.96平米 , 北 , 简装 , 低楼层(共24层) , 2006年建 , 塔楼,3人关注 / 8天以前发布,225,"51,183元/平"
黄村西里 两居室 中间楼层  南北通透,黄村西里 -黄村中,2室1厅 | 45.73平米 | 南 北 | 简装 | 中楼层(共5层) | 1977年建 | 板楼,2室1厅 , 45.73平米 , 南 北 , 简装 , 中楼层(共5层) , 1977年建 , 板楼,10人关注 / 14天以前发布,168,"36,738元/平"
六合园三层两居 小区改造完了 满五唯一商品房 随时看,六合园 -鲁谷,2室1厅 | 69.82平米 | 东 西 | 简装 | 中楼层(共7层) | 1995年建 | 板楼,2室1厅 , 69.82平米 , 东 西 , 简装 , 中楼层(共7层) , 1995年建 , 板楼,2人关注 / 16天以前发布,302,"43,255元/平"
方庄芳星园二区通透两居室，满五年唯一，精装修,芳星园二区 -方庄,2室1厅 | 68.89平米 | 东南 北 | 精装 | 低楼层(共25层)  | 塔楼,2室1厅 , 68.89平米 , 东南 北 , 精装 , 低楼层(共25层)  ,不详, 塔楼,12人关注 / 16天以前发布,469,"68,080元/平"
双地铁社区 电梯洋房 一梯两户 满五唯一 正对花园,DBC加州小镇 -临河里,2室2厅 | 93.22平米 | 南 北 | 简装 | 顶层(共8层)  | 板楼,2室2厅 , 93.22平米 , 南 北 , 简装 , 顶层(共8层)  ,不详, 板楼,7人关注 / 17天以前发布,420,"45,055元/平"
三里河路5号院，朝南两居室，采光好，不临街，楼龄新,三里河路5号院 -甘家口,2室1厅 | 60.3平米 | 南 | 精装 | 底层(共15层)  | 板塔结合,2室1厅 , 60.3平米 , 南 , 精装 , 底层(共15层)  ,不详, 板塔结合,6人关注 / 16天以前发布,710,"117,745元/平"
汇新家园两居 【高层11/16】随时看房  可贷款685万,汇新家园 -万柳,2室1厅 | 84.86平米 | 西南 | 精装 | 中楼层(共16层) | 2002年建 | 塔楼,2室1厅 , 84.86平米 , 西南 , 精装 , 中楼层(共16层) , 2002年建 , 塔楼,4人关注 / 16天以前发布,1250,"147,302元/平"
上地南路6号院 满五年唯一 不临街 诚意出售,上地南路6号院 -上地,2室1厅 | 99.9平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,2室1厅 , 99.9平米 , 南 北 , 简装 , 低楼层(共7层)  ,不详, 板楼,2人关注 / 14天以前发布,1060,"106,107元/平"
农光里 博海家园 满五唯一纯商品房 独院管理 大客厅,农光里 -劲松,2室1厅 | 100.98平米 | 西 | 精装 | 低楼层(共22层) | 2002年建 | 塔楼,2室1厅 , 100.98平米 , 西 , 精装 , 低楼层(共22层) , 2002年建 , 塔楼,6人关注 / 10天以前发布,675,"66,845元/平"
刘家窑地铁东北朝向两居室双阳台 满5年家庭首套房产,南三环东路 -刘家窑,2室1厅 | 61.87平米 | 东北 | 简装 | 18层 | 1989年建 | 塔楼,2室1厅 , 61.87平米 , 东北 , 简装 , 18层 , 1989年建 , 塔楼,14人关注 / 15天以前发布,315,"50,914元/平"
银地家园西南两居满五年，唯一 小区人车分流 环境好,银地家园 -花乡,2室1厅 | 86.38平米 | 西南 | 简装 | 底层(共14层) | 2005年建 | 板楼,2室1厅 , 86.38平米 , 西南 , 简装 , 底层(共14层) , 2005年建 , 板楼,14人关注 / 16天以前发布,398,"46,076元/平"
水科院，南北通透电梯房，明厨明卫，中间层，央产房,水科院 -军博,3室1厅 | 85.7平米 | 东南 南 北 | 简装 | 中楼层(共16层) | 1997年建 | 塔楼,3室1厅 , 85.7平米 , 东南 南 北 , 简装 , 中楼层(共16层) , 1997年建 , 塔楼,21人关注 / 10天以前发布,1180,"137,690元/平"
兆丰园，小洋房，带电梯，小区中间，南北两居,兆丰园 -青塔,2室1厅 | 75.67平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,2室1厅 , 75.67平米 , 南 北 , 简装 , 中楼层(共7层)  ,不详, 板楼,8人关注 / 9天以前发布,499,"65,945元/平"
清芷园西南向两居室满五年无遮挡采光好有钥匙随时看,清芷园 -右安门内,2室1厅 | 91.75平米 | 西南 | 简装 | 19层  | 板塔结合,2室1厅 , 91.75平米 , 西南 , 简装 , 19层  ,不详, 板塔结合,5人关注 / 10天以前发布,1200,"130,791元/平"
新桥南大街 南向两居室诚意出售,新桥南大街 -滨河西区,2室1厅 | 55.45平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,2室1厅 , 55.45平米 , 南 , 简装 , 高楼层(共6层) , 1988年建 , 板楼,4人关注 / 13天以前发布,172,"31,019元/平"
西直门地铁2000年电梯大客厅东南两居双阳台满五年唯一,德胜门西大街甲5号 -小西天,2室1厅 | 78.1平米 | 东南 南 | 简装 | 低楼层(共12层) | 1998年建 | 塔楼,2室1厅 , 78.1平米 , 东南 南 , 简装 , 低楼层(共12层) , 1998年建 , 塔楼,34人关注 / 15天以前发布,758,"97,056元/平"
满五唯一，纯南向，高楼层，采光和视野都不错。,恒盛波尔多小镇北区 -大兴新机场洋房别墅区,2室1厅 | 88.77平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,2室1厅 , 88.77平米 , 南 , 精装 , 中楼层(共8层)  ,不详, 板楼,3人关注 / 10天以前发布,205,"23,094元/平"
商品房，满五年唯一，精装修，看房方便，随时签约,名佳花园三区 -北七家,1室1厅 | 65.18平米 | 南 | 精装 | 6层 | 2005年建 | 板楼,1室1厅 , 65.18平米 , 南 , 精装 , 6层 , 2005年建 , 板楼,16人关注 / 15天以前发布,282,"43,265元/平"
阿尔法社区二期  商品房2010年小区  不临街  中间层,阿尔法社区二期 -九棵树(家乐福),2室1厅 | 79.28平米 | 东南 | 精装 | 中楼层(共6层) | 2010年建 | 板楼,2室1厅 , 79.28平米 , 东南 , 精装 , 中楼层(共6层) , 2010年建 , 板楼,3人关注 / 9天以前发布,315,"39,733元/平"
西城德宝 新精装修二室一厅 格局好 中间楼层,德宝新园 -西直门,2室1厅 | 61.5平米 | 南 北 | 其他 | 低楼层(共6层) | 1992年建 | 板楼,2室1厅 , 61.5平米 , 南 北 , 其他 , 低楼层(共6层) , 1992年建 , 板楼,9人关注 / 13天以前发布,815,"132,521元/平"
智学苑 3室2厅 西 南,智学苑 -西二旗,3室2厅 | 128.21平米 | 西 南 | 其他 | 中楼层(共24层)  | 塔楼,3室2厅 , 128.21平米 , 西 南 , 其他 , 中楼层(共24层)  ,不详, 塔楼,5人关注 / 10天以前发布,808,"63,022元/平"
首邑溪谷 2室1厅 南 北,首邑溪谷 -枣园,2室1厅 | 46.84平米 | 南 北 | 简装 | 中楼层(共16层)  | 板塔结合,2室1厅 , 46.84平米 , 南 北 , 简装 , 中楼层(共16层)  ,不详, 板塔结合,1人关注 / 16天以前发布,299,"63,835元/平"
