标题,开发商,房子信息,户型,面积,朝向,装修,楼层,建造时间,结构,发布周期,售价/万,单价
双山新苑，阳面，大一居，三水道,双山新苑 -柳林街,1室1厅 | 55.4平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,1室1厅 , 55.4平米 , 南 , 毛坯 , 高楼层(共6层)  ,不详, 板楼,3人关注 / 14天以前发布,129,"23,286元/平"
此房户型好大两室房子 满五 ，业主诚心出售,世纪向阳居 -向阳街,2室1厅 | 108.22平米 | 南 | 简装 | 低楼层(共27层)  | 板楼,2室1厅 , 108.22平米 , 南 , 简装 , 低楼层(共27层)  ,不详, 板楼,1人关注 / 11天以前发布,149,"13,769元/平"
总监推荐 独单一室 非顶楼 诚意出售 有钥匙,晨阳里 -向阳楼,1室1厅 | 44.31平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,1室1厅 , 44.31平米 , 南 , 精装 , 高楼层(共6层)  ,不详, 板楼,0人关注 / 13天以前发布,94,"21,215元/平"
花园楼 中间楼层 1梯3户 采光无遮挡 户型格局规整,花园楼 -越秀路,2室1厅 | 65.74平米 | 东 | 简装 | 中楼层(共6层)  | 板楼,2室1厅 , 65.74平米 , 东 , 简装 , 中楼层(共6层)  ,不详, 板楼,0人关注 / 13天以前发布,190,"28,902元/平"
西湖里 私产低楼层两室 不临街 价格能谈 户型好,西湖里 -万兴街,2室1厅 | 63.66平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,2室1厅 , 63.66平米 , 南 北 , 简装 , 中楼层(共5层)  ,不详, 板楼,0人关注 / 12天以前发布,180,"28,276元/平"
中北镇 南向1居 楼层好 诚心卖,华亭丽园 -中北镇,1室1厅 | 70.81平米 | 南 | 精装 | 低楼层(共21层)  | 板楼,1室1厅 , 70.81平米 , 南 , 精装 , 低楼层(共21层)  ,不详, 板楼,0人关注 / 12天以前发布,123,"17,371元/平"
东X通透、非顶层、精装修、适合年轻人居住。,景福里 -挂甲寺,2室1厅 | 73.83平米 | 东北 | 其他 | 高楼层(共9层)  | 板楼,2室1厅 , 73.83平米 , 东北 , 其他 , 高楼层(共9层)  ,不详, 板楼,1人关注 / 9天以前发布,184.7,"25,017元/平"
满五唯一，中间楼层，红桥本，急售！急售！急售！,金苑公寓 -双环邨,2室1厅 | 73.36平米 | 东 南 北 | 其他 | 中楼层(共6层)  | 板楼,2室1厅 , 73.36平米 , 东 南 北 , 其他 , 中楼层(共6层)  ,不详, 板楼,5人关注 / 23天以前发布,83,"11,315元/平"
滨瑞花园（远洋城7期） 3室2厅 南 北,滨瑞花园（远洋城7期） -胡家园,3室2厅 | 91.78平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,3室2厅 , 91.78平米 , 南 北 , 精装 , 中楼层(共34层)  ,不详, 板楼,0人关注 / 31天以前发布,105,"11,441元/平"
泰和新都3室两卫  中等装修 拎包入住,贻成泰和新都 -大沽街,3室2厅 | 124.86平米 | 南 北 | 精装 | 高楼层(共30层)  | 板楼,3室2厅 , 124.86平米 , 南 北 , 精装 , 高楼层(共30层)  ,不详, 板楼,0人关注 / 24天以前发布,126,"10,092元/平"
滨海壹号  满五唯一 落地窗  中间层 采光足 视野开阔,中建滨海壹号 -工农村,3室2厅 | 117.08平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,3室2厅 , 117.08平米 , 南 北 , 精装 , 中楼层(共33层)  ,不详, 板楼,0人关注 / 31天以前发布,164,"14,008元/平"
此房南北通透格局 小区前排 中间楼层 采光好,联发第五街 -第五大街,3室2厅 | 130.03平米 | 南 北 | 精装 | 中楼层(共21层)  | 板楼,3室2厅 , 130.03平米 , 南 北 , 精装 , 中楼层(共21层)  ,不详, 板楼,0人关注 / 21天以前发布,233,"17,919元/平"
此房楼层视野好，可观海河全景，商品房私产能贷款,天津湾海景文苑 -挂甲寺,2室1厅 | 109.47平米 | 东南 | 精装 | 42层  | 塔楼,2室1厅 , 109.47平米 , 东南 , 精装 , 42层  ,不详, 塔楼,4人关注 / 30天以前发布,418.88,"38,265元/平"
主卧外面带露台是间卧室  精装通透  面积达到150平米,海尔格林小镇 -八里台,3室2厅 | 134.48平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,3室2厅 , 134.48平米 , 南 北 , 精装 , 低楼层(共6层)  ,不详, 板楼,2人关注 / 26天以前发布,112,"8,329元/平"
人民家园 小区环境好 南北通透 诚心出售,人民家园 -双环邨,2室1厅 | 88.67平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,2室1厅 , 88.67平米 , 南 北 , 简装 , 高楼层(共6层)  ,不详, 板楼,0人关注 / 23天以前发布,105,"11,842元/平"
低楼层 精装修 有底商 生活便利 1梯2户密度低,井田公寓 -双环邨,2室1厅 | 92.78平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,2室1厅 , 92.78平米 , 南 北 , 精装 , 低楼层(共6层)  ,不详, 板楼,1人关注 / 27天以前发布,150,"16,168元/平"
翠海佳园，精装南北大三室，带车位，好楼层，价格可议,翠海佳园 -万新街,3室2厅 | 134.47平米 | 南 北 | 精装 | 高楼层(共14层)  | 板楼,3室2厅 , 134.47平米 , 南 北 , 精装 , 高楼层(共14层)  ,不详, 板楼,2人关注 / 25天以前发布,233,"17,328元/平"
私产过5年，1楼带两个小.院，使用面积大，看房随时,园荫北里 -王顶堤,2室1厅 | 53.86平米 | 东 南 | 简装 | 低楼层(共7层)  | 塔楼,2室1厅 , 53.86平米 , 东 南 , 简装 , 低楼层(共7层)  ,不详, 塔楼,6人关注 / 29天以前发布,146,"27,108元/平"
南北通透，中间楼层采光很好，私产可贷款，精装修,景兴西里 -挂甲寺,2室1厅 | 61.69平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,2室1厅 , 61.69平米 , 南 北 , 精装 , 高楼层(共7层)  ,不详, 板楼,3人关注 / 22天以前发布,225,"36,473元/平"
芳林园好位置好楼层  一直自己住的   急卖可谈,芳林泰达园 -第三大街,3室2厅 | 139.58平米 | 南 北 | 精装 | 高楼层(共11层)  | 板塔结合,3室2厅 , 139.58平米 , 南 北 , 精装 , 高楼层(共11层)  ,不详, 板塔结合,5人关注 / 23天以前发布,350,"25,076元/平"
物业管理到位，门口有保安，房龄小,跃丽大厦 -张贵庄,2室1厅 | 75平米 | 东 南 | 精装 | 低楼层(共13层)  | 板楼,2室1厅 , 75平米 , 东 南 , 精装 , 低楼层(共13层)  ,不详, 板楼,4人关注 / 26天以前发布,56,"7,467元/平"
詹滨西里  中间楼层   南北通透  满五唯一 业主诚心卖,詹滨西里 -张贵庄,2室1厅 | 78.79平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,2室1厅 , 78.79平米 , 南 北 , 简装 , 中楼层(共6层)  ,不详, 板楼,3人关注 / 30天以前发布,128,"16,246元/平"
俊城橡树原 解放南路旁 河西3居室 低总价 10年的房龄,俊城橡树原 -梅江,2室1厅 | 86.01平米 | 南 北 | 精装 | 低楼层(共27层)  | 板楼,2室1厅 , 86.01平米 , 南 北 , 精装 , 低楼层(共27层)  ,不详, 板楼,0人关注 / 29天以前发布,278,"32,322元/平"
店长推荐 詹滨西里 大院 小两室 花园旁 随时看房,詹滨西里 -张贵庄,2室1厅 | 72.2平米 | 东 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,2室1厅 , 72.2平米 , 东 南 北 , 毛坯 , 高楼层(共6层)  ,不详, 板楼,1人关注 / 19天以前发布,75,"10,388元/平"
满五唯一，采光好，楼层好，视野宽阔,盈润园 -中北镇,3室2厅 | 97.83平米 | 南 北 | 精装 | 高楼层(共29层)  | 板楼,3室2厅 , 97.83平米 , 南 北 , 精装 , 高楼层(共29层)  ,不详, 板楼,6人关注 / 26天以前发布,202,"20,649元/平"
私产可贷款，三室南北通透，采光充足，交通便利,名仕达花园 -挂甲寺,3室1厅 | 139.22平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,3室1厅 , 139.22平米 , 南 北 , 精装 , 高楼层(共18层)  ,不详, 板楼,3人关注 / 19天以前发布,635,"45,612元/平"
海教园精装修 中间楼层 可拎包入住,龙湖天宸原著 -咸水沽,3室2厅 | 124.65平米 | 南 | 精装 | 8层  | 板楼,3室2厅 , 124.65平米 , 南 , 精装 , 8层  ,不详, 板楼,3人关注 / 18天以前发布,275,"22,062元/平"
品质小区，配套齐全，有车位，楼层好采光视野,悦东嘉园 -大直沽,3室1厅 | 99.31平米 | 南 北 | 精装 | 高楼层(共22层)  | 塔楼,3室1厅 , 99.31平米 , 南 北 , 精装 , 高楼层(共22层)  ,不详, 塔楼,1人关注 / 20天以前发布,415,"41,789元/平"
二大街 精装 三室  位置好  有车位  满五唯一,天成东轩 -第三大街,3室2厅 | 106.84平米 | 南 北 | 精装 | 中楼层(共29层)  | 板楼,3室2厅 , 106.84平米 , 南 北 , 精装 , 中楼层(共29层)  ,不详, 板楼,1人关注 / 25天以前发布,235,"21,996元/平"
雅仕兰庭，业主诚意出售，看房方便,雅仕兰庭 -富民路,2室1厅 | 89.81平米 | 南 北 | 精装 | 中楼层(共25层)  | 板楼,2室1厅 , 89.81平米 , 南 北 , 精装 , 中楼层(共25层)  ,不详, 板楼,1人关注 / 14天以前发布,188,"20,934元/平"
房子私产满五年，阳面无遮挡，采光充足，通透户型,盛瑞公寓 -桃园街,3室2厅 | 206.08平米 | 东南 西北 | 精装 | 中楼层(共16层)  | 板楼,3室2厅 , 206.08平米 , 东南 西北 , 精装 , 中楼层(共16层)  ,不详, 板楼,1人关注 / 10天以前发布,610,"29,601元/平"
名景花园 精装修两室，私产，业主诚心卖，中间楼层,名景花园 -西营门,2室1厅 | 82.77平米 | 东南 | 其他 | 中楼层(共18层)  | 塔楼,2室1厅 , 82.77平米 , 东南 , 其他 , 中楼层(共18层)  ,不详, 塔楼,1人关注 / 15天以前发布,135,"16,311元/平"
金侨新梅江  精装次新房 南北通透 环境优美 出行方便,金侨新梅江壹号 -新梅江,4室2厅 | 164.25平米 | 南 北 | 精装 | 高楼层(共28层)  | 板楼,4室2厅 , 164.25平米 , 南 北 , 精装 , 高楼层(共28层)  ,不详, 板楼,2人关注 / 12天以前发布,560,"34,095元/平"
中山门西里 一段 带电梯 双阳面 采光好 私产 满五唯一,中山门西里 -中山门街,2室1厅 | 80.56平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,2室1厅 , 80.56平米 , 南 , 其他 , 低楼层(共18层)  ,不详, 板楼,3人关注 / 8天以前发布,136,"16,882元/平"
橡树湾精装修自主标准，次顶层采光充足，诚意卖,华润橡树湾香润轩 -华明镇,2室1厅 | 79.63平米 | 南 北 | 其他 | 高楼层(共10层)  | 板楼,2室1厅 , 79.63平米 , 南 北 , 其他 , 高楼层(共10层)  ,不详, 板楼,0人关注 / 8天以前发布,96,"12,056元/平"
(店长推荐)洋房中间楼层。前排无遮挡，诚意出售,万科民和巷 -新立街,3室2厅 | 116.63平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,3室2厅 , 116.63平米 , 南 北 , 精装 , 中楼层(共5层)  ,不详, 板楼,0人关注 / 8天以前发布,229,"19,635元/平"
盛华园，楼层低，采光好，南北向，不临街不把边,盛华园 -春华街,2室1厅 | 98.11平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,2室1厅 , 98.11平米 , 南 北 , 简装 , 中楼层(共6层)  ,不详, 板楼,0人关注 / 6天以前发布,248,"25,278元/平"
老证无尾款  大地下室  有装修,静湖花园中区 -静湖,3室2厅 | 99.96平米 | 南 北 | 其他 | 高楼层(共5层)  | 板楼,3室2厅 , 99.96平米 , 南 北 , 其他 , 高楼层(共5层)  ,不详, 板楼,0人关注 / 8天以前发布,75,"7,504元/平"
首创国际 婚房装修 南北通透 中间楼层 有地下车位,伴山人家 -工农村,2室1厅 | 85.07平米 | 南 北 | 其他 | 中楼层(共33层)  | 板塔结合,2室1厅 , 85.07平米 , 南 北 , 其他 , 中楼层(共33层)  ,不详, 板塔结合,1人关注 / 8天以前发布,110,"12,931元/平"
04年，私产满五唯一，出门一号线复兴门地铁站交通便利,幸福家园 -陈塘庄,2室1厅 | 92.39平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,2室1厅 , 92.39平米 , 南 北 , 简装 , 高楼层(共6层)  ,不详, 板楼,3人关注 / 10天以前发布,225,"24,354元/平"
李七庄 御溪园两室可当三室利用面积大 业主诚心出售,宏城御溪园 -李七庄,2室1厅 | 82.1平米 | 西南 | 其他 | 低楼层(共18层)  | 板楼,2室1厅 , 82.1平米 , 西南 , 其他 , 低楼层(共18层)  ,不详, 板楼,1人关注 / 7天以前发布,132,"16,078元/平"
步梯洋房，南北通透户型，采光好，视野开阔,天一绿海揽翠园 -于桥水库,3室2厅 | 121.1平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,3室2厅 , 121.1平米 , 南 北 , 其他 , 高楼层(共6层)  ,不详, 板楼,0人关注 / 12天以前发布,126,"10,405元/平"
南开 地铁二号线，长虹公园地铁站，采光充足,水琳园 -长虹街,2室1厅 | 90.97平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,2室1厅 , 90.97平米 , 南 北 , 精装 , 中楼层(共6层)  ,不详, 板楼,0人关注 / 5天以前发布,319,"35,067元/平"
天华里 1室1厅 南,天华里 -华苑,1室1厅 | 52.36平米 | 南 | 其他 | 低楼层(共25层)  | 塔楼,1室1厅 , 52.36平米 , 南 , 其他 , 低楼层(共25层)  ,不详, 塔楼,0人关注 / 7天以前发布,188,"35,906元/平"
南北通透，私产可贷款，业主着急出售,珠峰里 -柳林街,2室1厅 | 64.01平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,2室1厅 , 64.01平米 , 南 北 , 简装 , 高楼层(共6层)  ,不详, 板楼,0人关注 / 8天以前发布,133,"20,779元/平"
三水南里 两室 精装修 南北向 私产可以贷款 诚意卖,三水南里 -东海街,2室1厅 | 60.48平米 | 南 北 | 精装 | 6层  | 板楼,2室1厅 , 60.48平米 , 南 北 , 精装 , 6层  ,不详, 板楼,1人关注 / 6天以前发布,188,"31,085元/平"
冬云里一室私产，南北通透，采光好  配套设施齐全，,冬云里 -向阳路,1室2厅 | 47.38平米 | 南 北 | 其他 | 6层  | 板楼,1室2厅 , 47.38平米 , 南 北 , 其他 , 6层  ,不详, 板楼,0人关注 / 2天以前发布,73,"15,408元/平"
满二，楼层好.视野开阔.采光充足交通便利.,欣荣馨苑 -唐家口,2室1厅 | 62.45平米 | 东北 | 精装 | 高楼层(共24层)  | 塔楼,2室1厅 , 62.45平米 , 东北 , 精装 , 高楼层(共24层)  ,不详, 塔楼,0人关注 / 6天以前发布,125,"20,017元/平"
带小院带下跃，使用面积足够大 下跃采光好，必买好房,龙盛园 -下朱庄,2室1厅 | 86平米 | 南 | 简装 | 低楼层(共8层)  | 板塔结合,2室1厅 , 86平米 , 南 , 简装 , 低楼层(共8层)  ,不详, 板塔结合,8人关注 / 5个月以前发布,148,"17,210元/平"
房子自住精装修 满五年唯一住房 拎包既住,煦园新居 -鼓楼街,2室2厅 | 79.64平米 | 南 北 | 精装 | 低楼层(共25层)  | 板塔结合,2室2厅 , 79.64平米 , 南 北 , 精装 , 低楼层(共25层)  ,不详, 板塔结合,5人关注 / 13天以前发布,365,"45,832元/平"
南向 户型方正 明厨明卫 70年大产权 地铁近 可贷款,云江新苑 -东海街,1室1厅 | 57.45平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,1室1厅 , 57.45平米 , 南 , 精装 , 中楼层(共18层)  ,不详, 板楼,0人关注 / 2天以前发布,143,"24,892元/平"
倚虹中里 2室1厅 南 北,倚虹中里 -万新村,2室1厅 | 42.36平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,2室1厅 , 42.36平米 , 南 北 , 简装 , 高楼层(共7层)  ,不详, 板楼,0人关注 / 5天以前发布,45,"10,624元/平"
业主二次装修，楼层采光好保持棒，业主很诚心,揽城苑 -东丽湖,2室2厅 | 91.28平米 | 南 北 | 精装 | 低楼层(共26层)  | 板楼,2室2厅 , 91.28平米 , 南 北 , 精装 , 低楼层(共26层)  ,不详, 板楼,1人关注 / 6天以前发布,74,"8,107元/平"
私产楼层低 精装修阳面中独，近地铁 出行方便采光好,阳城里 -长虹街,1室1厅 | 65.3平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,1室1厅 , 65.3平米 , 南 , 精装 , 低楼层(共7层)  ,不详, 板楼,0人关注 / 7天以前发布,165,"25,268元/平"
宝平西区 楼层好 成熟社区 配套齐全 交通便利,宝平景苑西区 -南关大街,2室1厅 | 95.32平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,2室1厅 , 95.32平米 , 南 , 简装 , 中楼层(共7层)  ,不详, 板楼,0人关注 / 14天以前发布,71,"7,449元/平"
居华里好位置，中间楼层，采光好。,居华里 -华苑,1室1厅 | 52.75平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,1室1厅 , 52.75平米 , 南 , 其他 , 中楼层(共6层)  ,不详, 板楼,0人关注 / 7天以前发布,198,"37,536元/平"
西关北里 中楼层私产 户型好用 价格合适 看房方便,西关北里 -铃铛阁,1室1厅 | 39.92平米 | 西 | 精装 | 中楼层(共8层)  | 塔楼,1室1厅 , 39.92平米 , 西 , 精装 , 中楼层(共8层)  ,不详, 塔楼,1人关注 / 4天以前发布,67,"16,784元/平"
万华里三楼带电梯南北通透朝东向两室，采光好诚意出售,华城领秀万华里 -铃铛阁,2室2厅 | 88.67平米 | 东 南 北 | 精装 | 低楼层(共18层)  | 板楼,2室2厅 , 88.67平米 , 东 南 北 , 精装 , 低楼层(共18层)  ,不详, 板楼,0人关注 / 8天以前发布,280,"31,578元/平"
居华里好位置，中间楼层，采光好。,居华里 -华苑,1室1厅 | 52.75平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,1室1厅 , 52.75平米 , 南 , 其他 , 中楼层(共6层)  ,不详, 板楼,0人关注 / 7天以前发布,198,"37,536元/平"
带电梯，满五唯一 看房方便 一梯两户 改善房,鹤望里 -挂甲寺,3室1厅 | 95.78平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,3室1厅 , 95.78平米 , 南 北 , 精装 , 中楼层(共11层)  ,不详, 板楼,4人关注 / 8天以前发布,369,"38,526元/平"
六楼此顶楼，朝南户型好，私产房可贷款,江川里 -王顶堤,1室1厅 | 54.69平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,1室1厅 , 54.69平米 , 南 , 其他 , 高楼层(共7层)  ,不详, 板楼,0人关注 / 9天以前发布,98,"17,920元/平"
精装修 河景房 中高楼层 家具家电全带 诚意出售可谈,融创中央学府东区 -咸水沽,4室2厅 | 161.35平米 | 南 | 精装 | 高楼层(共28层)  | 塔楼,4室2厅 , 161.35平米 , 南 , 精装 , 高楼层(共28层)  ,不详, 塔楼,312人关注 / 一年前发布,265,"16,424元/平"
潞河园东南二楼一居，业主诚心，好采光，价格可以商量,潞河园 -丁字沽街,1室1厅 | 50.08平米 | 东 南 | 简装 | 低楼层(共7层)  | 板楼,1室1厅 , 50.08平米 , 东 南 , 简装 , 低楼层(共7层)  ,不详, 板楼,1人关注 / 11天以前发布,72,"14,377元/平"
楼层适中，视野开阔.前后无遮挡。,路劲领山 -盘山风景区,3室2厅 | 131.72平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,3室2厅 , 131.72平米 , 南 北 , 精装 , 中楼层(共5层)  ,不详, 板楼,0人关注 / 3个月以前发布,168,"12,755元/平"
河东 万达 爱琴海 第六大道花园洋房三楼明厅,第六大道第博雅园 -上杭路,2室1厅 | 82.22平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,2室1厅 , 82.22平米 , 南 北 , 简装 , 中楼层(共6层)  ,不详, 板楼,10人关注 / 15天以前发布,151,"18,366元/平"
元兴新里 1室1厅 西,元兴新里 -桃园街,1室1厅 | 35.07平米 | 西 | 简装 | 中楼层(共8层)  | 板楼,1室1厅 , 35.07平米 , 西 , 简装 , 中楼层(共8层)  ,不详, 板楼,1人关注 / 11天以前发布,119,"33,933元/平"
龙湾城片区，精装修，南北通透，诚意出售，看房方便,月伴湾花园 -下朱庄,2室2厅 | 85.26平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2室2厅 , 85.26平米 , 南 北 , 精装 , 高楼层(共6层)  ,不详, 板楼,0人关注 / 15天以前发布,79.5,"9,325元/平"
紫芥园新上 5楼到顶洋房 东南向全明户型 不临街位置好,紫芥园 -芥园道,4室2厅 | 171平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,4室2厅 , 171平米 , 南 北 , 精装 , 高楼层(共5层)  ,不详, 板楼,10人关注 / 3个月以前发布,425,"24,854元/平"
此房全阳户型，精装楼层好，位置好，视野开阔。,文荟园 -杨村,2室1厅 | 83.3平米 | 南 | 精装 | 低楼层(共16层)  | 板塔结合,2室1厅 , 83.3平米 , 南 , 精装 , 低楼层(共16层)  ,不详, 板塔结合,0人关注 / 13天以前发布,100,"12,005元/平"
海河大观 小户型总价低 位置棒 海河沿线 近地铁 诚售,海河大观 -下瓦房,1室1厅 | 52.08平米 | 东 西 北 | 精装 | 高楼层(共45层)  | 板塔结合,1室1厅 , 52.08平米 , 东 西 北 , 精装 , 高楼层(共45层)  ,不详, 板塔结合,2人关注 / 14天以前发布,94.5,"18,146元/平"
联排别墅 房子满五年 一共三层 前后有小院,绿泊庭苑 -天穆镇,5室3厅 | 196.92平米 | 南 北 | 毛坯 | 3层  | 板楼 | 联排别墅 ,5室3厅 , 196.92平米 , 南 北 , 毛坯 , 3层  , 板楼 , 联排别墅 ,47人关注 / 一年前发布,427,"21,684元/平"
业主诚意卖户型方正一梯两户看房方便,宁月花园 -二号桥街,2室1厅 | 86.15平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,2室1厅 , 86.15平米 , 南 北 , 精装 , 中楼层(共6层)  ,不详, 板楼,1人关注 / 14天以前发布,128,"14,858元/平"
店长推荐，万科好楼层 精装修 业主急售 价格可谈,万科四季雅园 -张家窝,3室2厅 | 89.73平米 | 南 | 精装 | 中楼层(共8层)  | 板塔结合,3室2厅 , 89.73平米 , 南 , 精装 , 中楼层(共8层)  ,不详, 板塔结合,3人关注 / 16天以前发布,150,"16,717元/平"
此房是中间楼层前面没有任何遮挡，采光好通透,龙顺园 -大寺,2室1厅 | 73.66平米 | 南 | 简装 | 中楼层(共14层)  | 板楼,2室1厅 , 73.66平米 , 南 , 简装 , 中楼层(共14层)  ,不详, 板楼,0人关注 / 15天以前发布,84,"11,404元/平"
树德里 2室1厅 南,树德里 -南营门街,2室1厅 | 63.43平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,2室1厅 , 63.43平米 , 南 , 精装 , 中楼层(共5层)  ,不详, 板楼,3人关注 / 10天以前发布,360,"56,756元/平"
君利花园 3室2厅 南 北,君利花园 -下朱庄,3室2厅 | 128.1平米 | 南 北 | 简装 | 低楼层(共24层)  | 板楼,3室2厅 , 128.1平米 , 南 北 , 简装 , 低楼层(共24层)  ,不详, 板楼,2人关注 / 11天以前发布,85,"6,636元/平"
满五年唯一 楼层好 采光好 位置好,宝龙南苑 -中新生态城,2室2厅 | 81.26平米 | 北 南 | 精装 | 高楼层(共11层)  | 板楼,2室2厅 , 81.26平米 , 北 南 , 精装 , 高楼层(共11层)  ,不详, 板楼,2人关注 / 15天以前发布,98,"12,061元/平"
两室改三室户型产品+1 二次装修-地采暖-近地铁.公园,名居花园 -空港经济区,2室2厅 | 96.8平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,2室2厅 , 96.8平米 , 南 北 , 精装 , 中楼层(共11层)  ,不详, 板楼,2人关注 / 11天以前发布,200,"20,662元/平"
此房私产过两年，低楼层，楼层好，视野开阔，采光充足,新闻里 -马场街,1室1厅 | 39.53平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,1室1厅 , 39.53平米 , 南 , 简装 , 中楼层(共6层)  ,不详, 板楼,1人关注 / 14天以前发布,228,"57,678元/平"
全阳三居室，带地下车位。业主诚心出售,东海岸家园 -工农村,3室1厅 | 88.52平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,3室1厅 , 88.52平米 , 南 , 精装 , 高楼层(共32层)  ,不详, 板塔结合,5人关注 / 12天以前发布,105,"11,862元/平"
近开里一楼带小院满五唯一自住精装修强烈建议实地看房,近开里 -新港,2室1厅 | 56.94平米 | 南 北 | 精装 | 低楼层(共4层)  | 板楼,2室1厅 , 56.94平米 , 南 北 , 精装 , 低楼层(共4层)  ,不详, 板楼,0人关注 / 9天以前发布,78,"13,699元/平"
此房满五唯一不临街不把边 业主诚心卖 南北通透户型。,惠州里 -越秀路,2室1厅 | 60.98平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,2室1厅 , 60.98平米 , 南 北 , 简装 , 高楼层(共6层)  ,不详, 板塔结合,6人关注 / 15天以前发布,178,"29,190元/平"
店长推荐，房子诚心出售，中楼层南北大量是户口可迁出,天华里 -华苑,2室1厅 | 76.29平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,2室1厅 , 76.29平米 , 南 北 , 精装 , 中楼层(共6层)  ,不详, 板楼,2人关注 / 14天以前发布,249,"32,639元/平"
私产一室 满五唯一 二楼楼层好 适合老人居住,南海里 -柳林街,1室1厅 | 31.31平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,1室1厅 , 31.31平米 , 南 , 简装 , 低楼层(共6层)  ,不详, 板楼,1人关注 / 11天以前发布,100,"31,939元/平"
上海道小砖房 好楼层 采光好 户型格局好用,亚中花园 -越秀路,2室1厅 | 95.22平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,2室1厅 , 95.22平米 , 南 北 , 精装 , 中楼层(共6层)  ,不详, 板楼,2人关注 / 11天以前发布,445,"46,734元/平"
久仰里阳面，前面无挡，私产，位置好,久仰里 -下瓦房,1室1厅 | 34.65平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,1室1厅 , 34.65平米 , 南 , 毛坯 , 高楼层(共6层)  ,不详, 板楼,0人关注 / 8天以前发布,180,"51,949元/平"
经典H户型通透两居，不遮挡采光好，业主诚意出售,长瀛里 -北仓镇,2室1厅 | 93.57平米 | 北 南 | 简装 | 低楼层(共24层)  | 板楼,2室1厅 , 93.57平米 , 北 南 , 简装 , 低楼层(共24层)  ,不详, 板楼,0人关注 / 14天以前发布,220,"23,512元/平"
南开华府，电梯次顶层，H加1，大三室，毛坯，私产,南开华府 -王顶堤,3室2厅 | 138.39平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,3室2厅 , 138.39平米 , 南 北 , 其他 , 高楼层(共7层)  ,不详, 板楼,3人关注 / 18天以前发布,480,"34,685元/平"
满五不唯一，配套成熟，户型通透，采光充足,首创暖山 -辛庄,3室1厅 | 92.26平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,3室1厅 , 92.26平米 , 南 北 , 毛坯 , 高楼层(共33层)  ,不详, 板楼,0人关注 / 12天以前发布,122,"13,224元/平"
翠港园精装修一室、有钥匙随时看房签约,翠港园 -双港,1室1厅 | 62.17平米 | 南 | 精装 | 低楼层(共15层)  | 塔楼,1室1厅 , 62.17平米 , 南 , 精装 , 低楼层(共15层)  ,不详, 塔楼,0人关注 / 7天以前发布,70,"11,260元/平"
私产可贷款 70年大产权＋楼下地铁＋万达商圈爱琴海,凤麟里 -上杭路,2室1厅 | 61.28平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2室1厅 , 61.28平米 , 南 北 , 精装 , 高楼层(共6层)  ,不详, 板楼,4人关注 / 7天以前发布,73,"11,913元/平"
